name,tonic,ghammaz_option1,ghammaz_option2
ajam,ajam,upper_ajam,nahawand4
ajam_ushayran,ajam3 + kurd + nahawand3
athar_kurd,athar_kurd3 + hijazkar
awj_iraq,sikah,hijaz + sikah,
bayati,bayati,nahawand,rast
bayati_shuri,bayati,hijaz + extra_tone
hijaz,hijaz,nahawand,rast
hijazkar,hijaz,nikriz3 + hijazkar3
huzam,sikah,hijaz + rast3
iraq,sikah,bayati + rast3
jiharkah,jiharkah,upper_rast
kirdan,rast,upper_rast
sazkar,sazkar,upper_rast
kurd,kurd + nahawand
lami,lami4 + kurd + extra_tone
mahur,rast,upper_ajam
mustaar,mustaar,nahawand4 + rast3
nahawand,nahawand,hijaz,kurd
nahawand_murassaa,nahawand_murassaa4 + hijaz + extra_tone
nairuz,rast,bayati
nawa_athar,nikriz3 + hijazkar
rast,rast,upper_rast,nahawand4
kirdan,upper_rast,rast,sazkar
shawq_afza,ajam,hijaz
sikah,sikah,upper_rast + rast3
suzdalara,rast,nahawand4
suznak,rast,hijaz
ushaq_masri,nahawand,bayati
zanjaran,hijaz,ajam
